0.0078125 0.999939 1.00384 0.999931
0.015625 0.999756 1.00365 0.999725
0.0234375 0.999451 1.00333 0.999382
0.03125 0.999024 1.00288 0.998902
0.0390625 0.998475 1.00231 0.998284
0.046875 0.997804 1.0016 0.99753
0.0546875 0.997012 1.00077 0.996638
0.0625 0.996099 0.999816 0.995611
0.0703125 0.995064 0.998732 0.994446
0.078125 0.993909 0.997521 0.993146
0.0859375 0.992633 0.996184 0.99171
0.09375 0.991237 0.994722 0.990138
0.101562 0.98972 0.993134 0.988431
0.109375 0.988085 0.991421 0.98659
0.117188 0.98633 0.989584 0.984614
0.125 0.984456 0.987624 0.982504
0.132812 0.982464 0.98554 0.98026
0.140625 0.980354 0.983334 0.977883
0.148438 0.978127 0.981006 0.975374
0.15625 0.975783 0.978557 0.972733
0.164062 0.973322 0.975987 0.969961
0.171875 0.970746 0.973298 0.967057
0.179688 0.968055 0.970489 0.964024
0.1875 0.96525 0.967563 0.96086
0.195312 0.96233 0.964519 0.957568
0.203125 0.959298 0.961359 0.954148
0.210938 0.956153 0.958084 0.950601
0.21875 0.952896 0.954694 0.946926
0.226562 0.949529 0.95119 0.943126
0.234375 0.946051 0.947574 0.939201
0.242188 0.942464 0.943846 0.935151
0.25 0.938768 0.940008 0.930978
0.257812 0.934964 0.93606 0.926682
0.265625 0.931054 0.932005 0.922265
0.273438 0.927037 0.927841 0.917727
0.28125 0.922915 0.923572 0.913068
0.289062 0.918689 0.919198 0.908292
0.296875 0.914359 0.91472 0.903397
0.304688 0.909927 0.91014 0.898385
0.3125 0.905394 0.905458 0.893258
0.320312 0.90076 0.900676 0.888015
0.328125 0.896026 0.895795 0.882659
0.335938 0.891194 0.890817 0.87719
0.34375 0.886264 0.885743 0.87161
0.351562 0.881237 0.880574 0.865919
0.359375 0.876115 0.875311 0.860119
0.367188 0.870899 0.869955 0.854211
0.375 0.865589 0.864509 0.848195
0.382812 0.860186 0.858974 0.842074
0.390625 0.854692 0.85335 0.835848
0.398438 0.849108 0.847639 0.829519
0.40625 0.843435 0.841843 0.823088
0.414062 0.837674 0.835962 0.816556
0.421875 0.831826 0.829999 0.809924
0.429688 0.825891 0.823955 0.803193
0.4375 0.819872 0.817831 0.796366
0.445312 0.81377 0.811628 0.789442
0.453125 0.807584 0.805348 0.782425
0.460938 0.801318 0.798993 0.775313
0.46875 0.794971 0.792563 0.76811
0.476562 0.788544 0.786061 0.760817
0.484375 0.78204 0.779487 0.753434
0.492188 0.775459 0.772843 0.745964
0.5 0.768802 0.766131 0.738407
0.507812 0.76207 0.759351 0.730764
0.515625 0.755265 0.752506 0.723038
0.523438 0.748388 0.745596 0.71523
0.53125 0.741439 0.738623 0.707341
0.539062 0.73442 0.731588 0.699372
0.546875 0.727332 0.724493 0.691325
0.554688 0.720176 0.71734 0.683201
0.5625 0.712953 0.710129 0.675002
0.570312 0.705665 0.702861 0.666729
0.578125 0.698312 0.695539 0.658383
0.585938 0.690896 0.688163 0.649966
0.59375 0.683418 0.680735 0.641479
0.601562 0.675878 0.673256 0.632925
0.609375 0.668279 0.665728 0.624303
0.617188 0.66062 0.658151 0.615616
0.625 0.652903 0.650527 0.606865
0.632812 0.64513 0.642857 0.598051
0.640625 0.6373 0.635142 0.589176
0.648438 0.629416 0.627384 0.580241
0.65625 0.621479 0.619584 0.571248
0.664062 0.613489 0.611743 0.562198
0.671875 0.605447 0.603862 0.553093
0.679688 0.597355 0.595943 0.543934
0.6875 0.589213 0.587985 0.534721
0.695312 0.581023 0.579992 0.525458
0.703125 0.572785 0.571963 0.516145
0.710938 0.564501 0.5639 0.506783
0.71875 0.556172 0.555803 0.497374
0.726562 0.547798 0.547675 0.48792
0.734375 0.539381 0.539515 0.478421
0.742188 0.530921 0.531325 0.46888
0.75 0.522419 0.523106 0.459296
0.757812 0.513877 0.514859 0.449673
0.765625 0.505296 0.506585 0.440011
0.773438 0.496676 0.498284 0.430311
0.78125 0.488017 0.489958 0.420576
0.789062 0.479322 0.481607 0.410805
0.796875 0.470591 0.473233 0.401001
0.804688 0.461825 0.464836 0.391165
0.8125 0.453025 0.456416 0.381299
0.820312 0.444191 0.447976 0.371402
0.828125 0.435325 0.439516 0.361478
0.835938 0.426428 0.431035 0.351527
0.84375 0.417499 0.422536 0.34155
0.851562 0.408541 0.414019 0.331548
0.859375 0.399553 0.405484 0.321524
0.867188 0.390538 0.396933 0.311478
0.875 0.381495 0.388365 0.301411
0.882812 0.372425 0.379783 0.291325
0.890625 0.363329 0.371185 0.281221
0.898438 0.354208 0.362573 0.2711
0.90625 0.345063 0.353948 0.260963
0.914062 0.335894 0.34531 0.250811
0.921875 0.326702 0.33666 0.240647
0.929688 0.317489 0.327997 0.23047
0.9375 0.308254 0.319324 0.220282
0.945312 0.298998 0.310639 0.210084
0.953125 0.289723 0.301945 0.199878
0.960938 0.280428 0.293241 0.189664
0.96875 0.271115 0.284527 0.179443
0.976562 0.261784 0.275805 0.169217
0.984375 0.252436 0.267074 0.158987
0.992188 0.243072 0.258335 0.148754
1 0.233692 0.249589 0.138518
1.00781 0.224297 0.240836 0.128282
1.01562 0.214887 0.232076 0.118045
1.02344 0.205464 0.22331 0.10781
1.03125 0.196028 0.214538 0.0975765
1.03906 0.186579 0.205761 0.0873461
1.04688 0.177119 0.196978 0.0771198
1.05469 0.167647 0.188191 0.0668986
1.0625 0.158165 0.179399 0.0566834
1.07031 0.148673 0.170603 0.0464753
1.07812 0.139172 0.161804 0.0362751
1.08594 0.129662 0.153 0.0260839
